timestamp,location-long,location-lat,eobs:battery-voltage,eobs:fix-battery-voltage,eobs:horizontal-accuracy-estimate,eobs:key-bin-checksum,eobs:speed-accuracy-estimate,eobs:start-timestamp,eobs:status,eobs:temperature,eobs:type-of-fix,eobs:used-time-to-get-fix,ground-speed,heading,height-above-ellipsoid,manually-marked-outlier,visible,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp
2009-02-11 00:00:01.000,,,3642,0,,3717396718,,2009-02-11 00:00:01.000,"D",27,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-10 19:00:01.000
2009-02-11 00:15:01.000,,,3635,0,,3757665008,,2009-02-11 00:15:01.000,"D",23,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-10 19:15:01.000
2009-02-11 00:30:01.000,,,3632,0,,30534636,,2009-02-11 00:30:01.000,"D",21,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-10 19:30:01.000
2009-02-11 00:45:01.000,,,3632,0,,720269586,,2009-02-11 00:45:01.000,"D",20,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-10 19:45:01.000
2009-02-11 01:00:01.000,,,3642,0,,2236026299,,2009-02-11 01:00:01.000,"D",22,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-10 20:00:01.000
2009-02-11 01:15:01.000,,,3643,0,,3154745678,,2009-02-11 01:15:01.000,"D",22,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-10 20:15:01.000
2009-02-11 01:30:01.000,,,3647,0,,3984138929,,2009-02-11 01:30:01.000,"D",21,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-10 20:30:01.000
2009-02-11 01:45:01.000,,,3652,0,,572239150,,2009-02-11 01:45:01.000,"D",20,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-10 20:45:01.000
2009-02-11 02:15:01.000,,,3654,0,,3359367192,,2009-02-11 02:15:01.000,"D",26,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-10 21:15:01.000
2009-02-11 02:30:01.000,,,3654,0,,563313856,,2009-02-11 02:30:01.000,"D",29,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-10 21:30:01.000
2009-02-11 02:45:01.000,,,3652,0,,76078794,,2009-02-11 02:45:01.000,"D",21,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-10 21:45:01.000
2009-02-11 03:00:01.000,,,3632,0,,171397634,,2009-02-11 03:00:01.000,"D",20,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-10 22:00:01.000
2009-02-11 03:15:01.000,,,3638,0,,2250244014,,2009-02-11 03:15:01.000,"D",26,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-10 22:15:01.000
2009-02-11 03:30:01.000,,,3647,0,,3607205896,,2009-02-11 03:30:01.000,"D",27,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-10 22:30:01.000
2009-02-11 03:45:01.000,,,3647,0,,3980923807,,2009-02-11 03:45:01.000,"D",24,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-10 22:45:01.000
2009-02-11 04:00:01.000,,,3643,0,,499751948,,2009-02-11 04:00:01.000,"D",24,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-10 23:00:01.000
2009-02-11 04:15:01.000,,,3642,0,,1454057653,,2009-02-11 04:15:01.000,"D",24,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-10 23:15:01.000
2009-02-11 04:45:01.000,,,3645,0,,3501934143,,2009-02-11 04:45:01.000,"D",26,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-10 23:45:01.000
2009-02-11 05:00:01.000,,,3652,0,,423746138,,2009-02-11 05:00:01.000,"D",26,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 00:00:01.000
2009-02-11 05:15:01.000,,,3652,0,,1237344961,,2009-02-11 05:15:01.000,"D",26,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 00:15:01.000
2009-02-11 05:30:01.000,,,3652,0,,2507143416,,2009-02-11 05:30:01.000,"D",28,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 00:30:01.000
2009-02-11 05:45:01.000,,,3652,0,,3285483598,,2009-02-11 05:45:01.000,"D",27,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 00:45:01.000
2009-02-11 06:00:01.000,,,3654,0,,4168551123,,2009-02-11 06:00:01.000,"D",27,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 01:00:01.000
2009-02-11 06:15:01.000,,,3657,0,,897554836,,2009-02-11 06:15:01.000,"D",27,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 01:15:01.000
2009-02-11 06:30:01.000,,,3654,0,,2221289713,,2009-02-11 06:30:01.000,"D",30,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 01:30:01.000
2009-02-11 06:45:01.000,,,3652,0,,3105471354,,2009-02-11 06:45:01.000,"D",30,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 01:45:01.000
2009-02-11 07:15:01.000,,,3652,0,,612946328,,2009-02-11 07:15:01.000,"D",30,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 02:15:01.000
2009-02-11 07:30:01.000,,,3652,0,,1531534641,,2009-02-11 07:30:01.000,"D",30,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 02:30:01.000
2009-02-11 07:45:01.000,,,3654,0,,2239292002,,2009-02-11 07:45:01.000,"D",29,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 02:45:01.000
2009-02-11 08:00:01.000,,,3652,0,,3123145967,,2009-02-11 08:00:01.000,"D",29,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 03:00:01.000
2009-02-11 08:15:01.000,,,3654,0,,4111530658,,2009-02-11 08:15:01.000,"D",29,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 03:15:01.000
2009-02-11 08:30:01.000,,,3652,0,,736003645,,2009-02-11 08:30:01.000,"D",30,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 03:30:01.000
2009-02-11 08:45:01.000,,,3654,0,,1707545329,,2009-02-11 08:45:01.000,"D",30,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 03:45:01.000
2009-02-11 09:00:01.000,,,3654,0,,2432604455,,2009-02-11 09:00:01.000,"D",29,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 04:00:01.000
2009-02-11 09:15:01.000,,,3654,0,,3210551423,,2009-02-11 09:15:01.000,"D",28,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 04:15:01.000
2009-02-11 09:45:01.000,,,3652,0,,1123172961,,2009-02-11 09:45:01.000,"D",31,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 04:45:01.000
2009-02-11 10:00:01.000,,,3648,0,,1972423644,,2009-02-11 10:00:01.000,"D",31,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 05:00:01.000
2009-02-11 10:15:01.000,,,3652,0,,2749911855,,2009-02-11 10:15:01.000,"D",30,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 05:15:01.000
2009-02-11 10:30:01.000,,,3657,0,,3738296540,,2009-02-11 10:30:01.000,"D",29,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 05:30:01.000
2009-02-11 10:45:01.000,,,3657,0,,361983093,,2009-02-11 10:45:01.000,"D",29,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 05:45:01.000
2009-02-11 11:00:01.000,,,3659,0,,1315633430,,2009-02-11 11:00:01.000,"D",29,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 06:00:01.000
2009-02-11 11:15:01.000,,,3659,0,,1953201199,,2009-02-11 11:15:01.000,"D",28,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 06:15:01.000
2009-02-11 11:30:01.000,,,3623,0,,3550190945,,2009-02-11 11:30:01.000,"D",12,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 06:30:01.000
2009-02-11 11:45:01.000,,,3613,0,,544945081,,2009-02-11 11:45:01.000,"D",16,0,120,,,,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",,,,"Eastern Standard Time",2009-02-11 06:45:01.000
2009-02-11 12:16:45.000,-73.8987953,42.7437001,3615,0,14.85,2992317972,5.65,2009-02-11 12:14:59.000,"A",20,3,106,2.1,125.17,79.3,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",590129.9913254789,4732941.667533869,"18N","Eastern Standard Time",2009-02-11 07:16:45.000
2009-02-11 12:31:38.000,-73.8987189,42.7436887,3623,0,5.38,1723246055,4.69,2009-02-11 12:30:01.000,"A",26,3,97,0.51,3.28,94.2,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",590136.2609935164,4732940.483205097,"18N","Eastern Standard Time",2009-02-11 07:31:38.000
2009-02-11 12:45:48.998,-73.8986926,42.7436421,3627,0,5.38,1910450098,4.19,2009-02-11 12:45:01.000,"A",24,3,47,0.16,91.1,82.5,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",590138.4811012328,4732935.336595692,"18N","Eastern Standard Time",2009-02-11 07:45:48.998
2009-02-11 13:00:16.002,-73.8986236,42.7437442,3632,0,6.4,2286746099,5.97,2009-02-11 13:00:02.000,"A",24,3,14,0.23,335.54,153.7,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",590143.9806472975,4732946.747974602,"18N","Eastern Standard Time",2009-02-11 08:00:16.002
2009-02-11 13:15:19.001,-73.8987095,42.7436847,3642,0,7.68,3797866101,6.34,2009-02-11 13:15:01.000,"A",25,3,18,0.48,359.79,73.7,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",590137.0361558323,4732940.049063438,"18N","Eastern Standard Time",2009-02-11 08:15:19.001
2009-02-11 13:30:13.001,-73.8988455,42.7436514,3647,0,8.7,3956003832,6.15,2009-02-11 13:30:01.000,"A",23,3,12,0.17,29.49,71.2,,true,"gps","Martes pennanti","74","Leroy","Urban fisher GPS tracking",590125.9531295688,4732936.206041257,"18N","Eastern Standard Time",2009-02-11 08:30:13.001
