"","event.id","timestamp","location.long","location.lat","behavioural.classification","eobs.battery.voltage","eobs.fix.battery.voltage","eobs.horizontal.accuracy.estimate","eobs.key.bin.checksum","eobs.speed.accuracy.estimate","eobs.start.timestamp","eobs.status","eobs.temperature","eobs.type.of.fix","eobs.used.time.to.get.fix","ground.speed","heading","height.above.ellipsoid","manually.marked.outlier","visible","sensor.type","individual.taxon.canonical.name","tag.local.identifier","individual.local.identifier","study.name","utm.easting","utm.northing","utm.zone","study.timezone","study.local.timestamp"
"1",44528397,"2010-02-09 16:07:21.000",NA,NA,NA,3686,3468,NA,2210166656,NA,"2010-02-09 16:05:21.000","D",27,0,120,NA,NA,NA,"","true","gps","Martes pennanti",1016,"Ricky T","Urban fisher GPS tracking",NA,NA,"","Eastern Standard Time","2010-02-09 11:07:21.000"
"2",44528398,"2010-02-09 17:01:23.000",-73.9042594,42.8418856,NA,3662,3457,13.57,2236237607,1.64,"2010-02-09 17:00:00.000","A",3,3,83,0.12,292.95,80.3,"","true","gps","Martes pennanti",1016,"Ricky T","Urban fisher GPS tracking",589541.097246732,4743838.94122749,"18N","Eastern Standard Time","2010-02-09 12:01:23.000"
"3",44528399,"2010-02-09 17:28:56.000",-73.9025698,42.841286,NA,3652,3442,14.59,1109663675,7.2,"2010-02-09 17:28:00.000","A",2,3,56,1.14,147.46,99.1,"","true","gps","Martes pennanti",1016,"Ricky T","Urban fisher GPS tracking",589680.035600305,4743774.15466699,"18N","Eastern Standard Time","2010-02-09 12:28:56.000"
"4",44528400,"2010-02-09 17:31:28.999",-73.9024245,42.8413244,NA,3615,3437,24.32,4285600836,10.67,"2010-02-09 17:29:59.000","A",-2,3,89,0.55,106.82,120.1,"","true","gps","Martes pennanti",1016,"Ricky T","Urban fisher GPS tracking",589691.853817723,4743778.57353644,"18N","Eastern Standard Time","2010-02-09 12:31:28.999"
"5",44528401,"2010-02-09 17:33:22.001",-73.9024543,42.8413912,NA,3593,3427,26.62,3890382904,5.83,"2010-02-09 17:32:02.000","A",-4,3,80,0.5,2.62,93,"","true","gps","Martes pennanti",1016,"Ricky T","Urban fisher GPS tracking",589689.321960347,4743785.95973745,"18N","Eastern Standard Time","2010-02-09 12:33:22.001"
"6",44528402,"2010-02-09 17:35:34.998",-73.9025771,42.841409,NA,3586,3420,6.4,270038582,3.92,"2010-02-09 17:33:59.000","A",-5,3,95,0.22,5.9,83.2,"","true","gps","Martes pennanti",1016,"Ricky T","Urban fisher GPS tracking",589679.261139389,4743787.80565072,"18N","Eastern Standard Time","2010-02-09 12:35:34.998"
"7",44528403,"2010-02-09 17:36:10.000",-73.9024203,42.8414366,NA,3570,3442,7.42,3958666763,4.25,"2010-02-09 17:36:02.000","A",-5,3,8,0.59,0.66,82.7,"","true","gps","Martes pennanti",1016,"Ricky T","Urban fisher GPS tracking",589692.034723189,4743791.03745666,"18N","Eastern Standard Time","2010-02-09 12:36:10.000"
"8",44528259,"2010-02-09 17:38:00.000",NA,NA,NA,3603,3398,NA,774908910,NA,"2010-02-09 17:38:00.000","D",-8,0,120,NA,NA,NA,"","true","gps","Martes pennanti",1016,"Ricky T","Urban fisher GPS tracking",NA,NA,"","Eastern Standard Time","2010-02-09 12:38:00.000"
"9",44528404,"2010-02-09 17:43:03.999",-73.9026345,42.8416854,NA,3601,3413,16.13,475281339,6.17,"2010-02-09 17:41:59.000","A",-10,3,64,0.33,352.58,128.5,"","true","gps","Martes pennanti",1016,"Ricky T","Urban fisher GPS tracking",589674.170701908,4743818.4378853,"18N","Eastern Standard Time","2010-02-09 12:43:03.999"
"10",44528405,"2010-02-09 17:45:20.999",-73.9024396,42.8413578,NA,3583,3410,13.06,3182027045,6.06,"2010-02-09 17:44:00.000","A",-12,3,80,0.07,14.42,100.2,"","true","gps","Martes pennanti",1016,"Ricky T","Urban fisher GPS tracking",589690.571544616,4743782.26642391,"18N","Eastern Standard Time","2010-02-09 12:45:20.999"
"11",44528666,"2010-02-09 17:48:01.000",NA,NA,NA,3574,3403,NA,3353051444,NA,"2010-02-09 17:46:01.000","D",-10,0,120,NA,NA,NA,"","true","gps","Martes pennanti",1016,"Ricky T","Urban fisher GPS tracking",NA,NA,"","Eastern Standard Time","2010-02-09 12:48:01.000"
"12",44528406,"2010-02-09 17:51:20.999",-73.9023933,42.8414115,NA,3598,3403,7.17,537756688,6.6,"2010-02-09 17:50:00.000","A",-7,3,80,0.18,354.55,98.3,"","true","gps","Martes pennanti",1016,"Ricky T","Urban fisher GPS tracking",589694.277442239,4743788.2789265,"18N","Eastern Standard Time","2010-02-09 12:51:20.999"
"13",44528407,"2010-02-09 17:53:38.998",-73.9025558,42.841398,NA,3569,3399,7.17,4282974616,4.45,"2010-02-09 17:52:00.000","A",-5,3,98,0.13,8.52,78.9,"","true","gps","Martes pennanti",1016,"Ricky T","Urban fisher GPS tracking",589681.017661489,4743786.60680872,"18N","Eastern Standard Time","2010-02-09 12:53:38.998"
"14",44528408,"2010-02-09 17:54:18.000",-73.9024212,42.8413955,NA,3547,3405,7.68,2671764705,4.9,"2010-02-09 17:54:01.000","A",-5,3,17,0.25,345.37,95.6,"","true","gps","Martes pennanti",1016,"Ricky T","Urban fisher GPS tracking",589692.020633561,4743786.47247576,"18N","Eastern Standard Time","2010-02-09 12:54:18.000"
